policy,direction,direction_deg,push_n,recovery_rate
P1_nominal,from_behind,0.0,0.0,1.0000
P1_nominal,from_behind,0.0,50.0,1.0000
P1_nominal,from_behind,0.0,100.0,1.0000
P1_nominal,from_behind,0.0,150.0,1.0000
P1_nominal,from_behind,0.0,200.0,1.0000
P1_nominal,from_behind,0.0,250.0,0.9844
P1_nominal,from_behind,0.0,300.0,0.8923
P1_nominal,from_behind,0.0,350.0,0.7647
P1_nominal,from_behind,0.0,400.0,0.4810
P1_nominal,from_behind,0.0,450.0,0.3488
P1_nominal,from_behind,0.0,500.0,0.1818
P1_nominal,from_behind,0.0,550.0,0.0833
P1_nominal,from_behind,0.0,600.0,0.0165
P1_nominal,from_behind,0.0,650.0,0.0000
P1_nominal,from_behind,0.0,700.0,0.0000
P1_nominal,from_right,90.0,0.0,1.0000
P1_nominal,from_right,90.0,50.0,1.0000
P1_nominal,from_right,90.0,100.0,1.0000
P1_nominal,from_right,90.0,150.0,0.9844
P1_nominal,from_right,90.0,200.0,0.9219
P1_nominal,from_right,90.0,250.0,0.8788
P1_nominal,from_right,90.0,300.0,0.5714
P1_nominal,from_right,90.0,350.0,0.2771
P1_nominal,from_right,90.0,400.0,0.1100
P1_nominal,from_right,90.0,450.0,0.0000
P1_nominal,from_right,90.0,500.0,0.0000
P1_nominal,from_right,90.0,550.0,0.0000
P1_nominal,from_right,90.0,600.0,0.0000
P1_nominal,from_right,90.0,650.0,0.0000
P1_nominal,from_right,90.0,700.0,0.0000
P1_nominal,from_front,180.0,0.0,1.0000
P1_nominal,from_front,180.0,50.0,1.0000
P1_nominal,from_front,180.0,100.0,1.0000
P1_nominal,from_front,180.0,150.0,1.0000
P1_nominal,from_front,180.0,200.0,1.0000
P1_nominal,from_front,180.0,250.0,0.9688
P1_nominal,from_front,180.0,300.0,0.9531
P1_nominal,from_front,180.0,350.0,0.7846
P1_nominal,from_front,180.0,400.0,0.4024
P1_nominal,from_front,180.0,450.0,0.1818
P1_nominal,from_front,180.0,500.0,0.0450
P1_nominal,from_front,180.0,550.0,0.0244
P1_nominal,from_front,180.0,600.0,0.0079
P1_nominal,from_front,180.0,650.0,0.0000
P1_nominal,from_front,180.0,700.0,0.0000
P1_nominal,from_left,270.0,0.0,1.0000
P1_nominal,from_left,270.0,50.0,1.0000
P1_nominal,from_left,270.0,100.0,1.0000
P1_nominal,from_left,270.0,150.0,0.9844
P1_nominal,from_left,270.0,200.0,0.9219
P1_nominal,from_left,270.0,250.0,0.5970
P1_nominal,from_left,270.0,300.0,0.3117
P1_nominal,from_left,270.0,350.0,0.1000
P1_nominal,from_left,270.0,400.0,0.0427
P1_nominal,from_left,270.0,450.0,0.0160
P1_nominal,from_left,270.0,500.0,0.0000
P1_nominal,from_left,270.0,550.0,0.0000
P1_nominal,from_left,270.0,600.0,0.0000
P1_nominal,from_left,270.0,650.0,0.0000
P1_nominal,from_left,270.0,700.0,0.0000
P2_push,from_behind,0.0,0.0,1.0000
P2_push,from_behind,0.0,50.0,1.0000
P2_push,from_behind,0.0,100.0,1.0000
P2_push,from_behind,0.0,150.0,1.0000
P2_push,from_behind,0.0,200.0,0.9375
P2_push,from_behind,0.0,250.0,0.8806
P2_push,from_behind,0.0,300.0,0.8143
P2_push,from_behind,0.0,350.0,0.8235
P2_push,from_behind,0.0,400.0,0.7857
P2_push,from_behind,0.0,450.0,0.7183
P2_push,from_behind,0.0,500.0,0.7571
P2_push,from_behind,0.0,550.0,0.6712
P2_push,from_behind,0.0,600.0,0.4625
P2_push,from_behind,0.0,650.0,0.3750
P2_push,from_behind,0.0,700.0,0.2245
P2_push,from_behind,0.0,750.0,0.1604
P2_push,from_behind,0.0,800.0,0.0901
P2_push,from_behind,0.0,850.0,0.0254
P2_push,from_behind,0.0,900.0,0.0080
P2_push,from_behind,0.0,1000.0,0.0000
P2_push,from_right,90.0,0.0,1.0000
P2_push,from_right,90.0,50.0,1.0000
P2_push,from_right,90.0,100.0,1.0000
P2_push,from_right,90.0,150.0,1.0000
P2_push,from_right,90.0,200.0,1.0000
P2_push,from_right,90.0,250.0,0.9844
P2_push,from_right,90.0,300.0,0.9062
P2_push,from_right,90.0,350.0,0.8906
P2_push,from_right,90.0,400.0,0.8060
P2_push,from_right,90.0,450.0,0.8333
P2_push,from_right,90.0,500.0,0.7576
P2_push,from_right,90.0,550.0,0.7429
P2_push,from_right,90.0,600.0,0.8060
P2_push,from_right,90.0,650.0,0.5143
P2_push,from_right,90.0,700.0,0.3293
P2_push,from_right,90.0,750.0,0.1020
P2_push,from_right,90.0,800.0,0.0351
P2_push,from_right,90.0,850.0,0.0000
P2_push,from_right,90.0,900.0,0.0080
P2_push,from_right,90.0,1000.0,0.0000
P2_push,from_front,180.0,0.0,1.0000
P2_push,from_front,180.0,50.0,1.0000
P2_push,from_front,180.0,100.0,1.0000
P2_push,from_front,180.0,150.0,1.0000
P2_push,from_front,180.0,200.0,1.0000
P2_push,from_front,180.0,250.0,1.0000
P2_push,from_front,180.0,300.0,1.0000
P2_push,from_front,180.0,350.0,0.9844
P2_push,from_front,180.0,400.0,1.0000
P2_push,from_front,180.0,450.0,0.9375
P2_push,from_front,180.0,500.0,0.8615
P2_push,from_front,180.0,550.0,0.6438
P2_push,from_front,180.0,600.0,0.4938
P2_push,from_front,180.0,650.0,0.2979
P2_push,from_front,180.0,700.0,0.2255
P2_push,from_front,180.0,750.0,0.1574
P2_push,from_front,180.0,800.0,0.0870
P2_push,from_front,180.0,850.0,0.0160
P2_push,from_front,180.0,900.0,0.0000
P2_push,from_front,180.0,1000.0,0.0000
P2_push,from_left,270.0,0.0,1.0000
P2_push,from_left,270.0,50.0,1.0000
P2_push,from_left,270.0,100.0,1.0000
P2_push,from_left,270.0,150.0,0.9844
P2_push,from_left,270.0,200.0,0.9538
P2_push,from_left,270.0,250.0,0.9538
P2_push,from_left,270.0,300.0,0.8939
P2_push,from_left,270.0,350.0,0.9104
P2_push,from_left,270.0,400.0,0.8955
P2_push,from_left,270.0,450.0,0.9688
P2_push,from_left,270.0,500.0,0.9077
P2_push,from_left,270.0,550.0,0.8906
P2_push,from_left,270.0,600.0,0.8154
P2_push,from_left,270.0,650.0,0.7536
P2_push,from_left,270.0,700.0,0.5455
P2_push,from_left,270.0,750.0,0.3371
P2_push,from_left,270.0,800.0,0.1683
P2_push,from_left,270.0,850.0,0.0541
P2_push,from_left,270.0,900.0,0.0165
P2_push,from_left,270.0,1000.0,0.0000
P3_robust,from_behind,0.0,0.0,1.0000
P3_robust,from_behind,0.0,50.0,1.0000
P3_robust,from_behind,0.0,100.0,1.0000
P3_robust,from_behind,0.0,150.0,1.0000
P3_robust,from_behind,0.0,200.0,1.0000
P3_robust,from_behind,0.0,250.0,1.0000
P3_robust,from_behind,0.0,300.0,0.9688
P3_robust,from_behind,0.0,350.0,0.9385
P3_robust,from_behind,0.0,400.0,0.9219
P3_robust,from_behind,0.0,450.0,0.9375
P3_robust,from_behind,0.0,500.0,0.9219
P3_robust,from_behind,0.0,550.0,0.7812
P3_robust,from_behind,0.0,600.0,0.6324
P3_robust,from_behind,0.0,650.0,0.3924
P3_robust,from_behind,0.0,700.0,0.2584
P3_robust,from_behind,0.0,750.0,0.1048
P3_robust,from_behind,0.0,800.0,0.0541
P3_robust,from_behind,0.0,850.0,0.0000
P3_robust,from_behind,0.0,900.0,0.0000
P3_robust,from_behind,0.0,1000.0,0.0000
