policy,push_n,recovery_rate,ci_lo,ci_hi,fall_rate,n,mean_peak_dv,mean_max_tilt_deg
P1_nominal,0.0,1.0000,0.9852,1.0000,0.0000,256,0.2245,2.67
P1_nominal,50.0,1.0000,0.9852,1.0000,0.0000,256,0.3190,3.26
P1_nominal,100.0,1.0000,0.9852,1.0000,0.0000,256,0.5272,4.36
P1_nominal,150.0,0.9922,0.9720,0.9979,0.0078,256,0.7670,6.87
P1_nominal,200.0,0.9609,0.9296,0.9786,0.0391,256,1.0144,11.25
P1_nominal,250.0,0.8544,0.8065,0.8921,0.1456,261,1.2437,17.04
P1_nominal,300.0,0.6630,0.6054,0.7162,0.3370,276,1.4484,22.48
P1_nominal,350.0,0.4412,0.3866,0.4972,0.5588,306,1.6757,27.75
P1_nominal,400.0,0.2302,0.1906,0.2752,0.7698,378,1.8749,30.97
P1_nominal,450.0,0.1163,0.0893,0.1500,0.8791,430,2.1550,35.81
P1_nominal,500.0,0.0495,0.0332,0.0731,0.9484,465,2.3897,40.27
P1_nominal,550.0,0.0246,0.0142,0.0426,0.9754,487,2.6202,43.89
P1_nominal,600.0,0.0060,0.0020,0.0174,0.9940,504,2.8100,45.82
P1_nominal,650.0,0.0000,0.0000,0.0074,1.0000,512,2.9816,47.74
P1_nominal,700.0,0.0000,0.0000,0.0074,1.0000,512,3.1413,48.84
P2_push,0.0,1.0000,0.9852,1.0000,0.0000,256,0.2534,3.87
P2_push,50.0,1.0000,0.9852,1.0000,0.0000,256,0.3598,4.51
P2_push,100.0,1.0000,0.9852,1.0000,0.0000,256,0.5767,5.25
P2_push,150.0,0.9961,0.9782,0.9993,0.0039,256,0.8341,6.36
P2_push,200.0,0.9728,0.9449,0.9867,0.0272,257,1.0919,8.03
P2_push,250.0,0.9538,0.9211,0.9734,0.0462,260,1.3311,9.58
P2_push,300.0,0.9015,0.8596,0.9319,0.0947,264,1.5824,12.39
P2_push,350.0,0.9011,0.8591,0.9316,0.0951,263,1.8417,14.54
P2_push,400.0,0.8694,0.8238,0.9046,0.1306,268,2.0631,16.85
P2_push,450.0,0.8604,0.8135,0.8970,0.1358,265,2.3298,20.05
P2_push,500.0,0.8195,0.7689,0.8611,0.1729,266,2.5669,23.41
P2_push,550.0,0.7321,0.6774,0.7806,0.2679,280,2.7688,27.14
P2_push,600.0,0.6280,0.5713,0.6813,0.3652,293,2.9903,31.81
P2_push,650.0,0.4642,0.4104,0.5188,0.5265,321,3.1858,36.03
P2_push,700.0,0.3175,0.2715,0.3674,0.6685,359,3.3690,39.36
P2_push,750.0,0.1845,0.1496,0.2254,0.8105,401,3.5645,42.00
P2_push,800.0,0.0930,0.0693,0.1237,0.9048,441,3.7504,43.40
P2_push,850.0,0.0232,0.0130,0.0410,0.9726,475,4.0046,45.79
P2_push,900.0,0.0080,0.0031,0.0204,0.9900,499,4.2085,47.09
P2_push,1000.0,0.0000,0.0000,0.0075,1.0000,511,4.6055,49.26
P3_robust,0.0,1.0000,0.9852,1.0000,0.0000,256,0.2936,2.56
P3_robust,50.0,1.0000,0.9852,1.0000,0.0000,256,0.3778,3.08
P3_robust,100.0,1.0000,0.9852,1.0000,0.0000,256,0.5792,3.66
P3_robust,150.0,1.0000,0.9852,1.0000,0.0000,256,0.8127,4.54
P3_robust,200.0,1.0000,0.9852,1.0000,0.0000,256,1.0572,5.45
P3_robust,250.0,0.9961,0.9782,0.9993,0.0039,256,1.3102,6.94
P3_robust,300.0,0.9922,0.9720,0.9979,0.0078,256,1.5633,8.72
P3_robust,350.0,0.9689,0.9398,0.9841,0.0311,257,1.8039,11.21
P3_robust,400.0,0.9609,0.9296,0.9786,0.0391,256,2.0620,14.41
P3_robust,450.0,0.9609,0.9296,0.9786,0.0391,256,2.2959,17.85
P3_robust,500.0,0.9272,0.8891,0.9529,0.0690,261,2.5099,21.87
P3_robust,550.0,0.7978,0.7461,0.8412,0.2022,272,2.7071,27.29
P3_robust,600.0,0.6690,0.6129,0.7206,0.3276,290,2.9180,31.97
P3_robust,650.0,0.5141,0.4594,0.5685,0.4796,319,3.1294,36.19
P3_robust,700.0,0.3569,0.3087,0.4082,0.6402,353,3.3432,40.69
P3_robust,750.0,0.2005,0.1642,0.2426,0.7870,399,3.5073,43.71
P3_robust,800.0,0.1192,0.0918,0.1533,0.8762,428,3.6761,46.43
P3_robust,850.0,0.0304,0.0182,0.0503,0.9675,461,3.8257,47.35
P3_robust,900.0,0.0083,0.0032,0.0212,0.9917,481,3.9909,48.41
P3_robust,1000.0,0.0020,0.0003,0.0111,0.9980,508,4.3733,49.90
legacy,0.0,1.0000,0.9852,1.0000,0.0000,256,0.1651,2.80
legacy,50.0,1.0000,0.9852,1.0000,0.0000,256,0.2854,3.20
legacy,100.0,1.0000,0.9852,1.0000,0.0000,256,0.5101,4.10
legacy,150.0,1.0000,0.9852,1.0000,0.0000,256,0.7721,5.53
legacy,200.0,1.0000,0.9852,1.0000,0.0000,256,1.0330,7.27
legacy,250.0,1.0000,0.9852,1.0000,0.0000,256,1.2943,9.18
legacy,300.0,1.0000,0.9852,1.0000,0.0000,256,1.5469,11.72
legacy,350.0,0.8935,0.8504,0.9253,0.0913,263,1.7826,16.12
legacy,400.0,0.6835,0.6266,0.7353,0.2878,278,2.0386,22.83
legacy,450.0,0.3912,0.3391,0.4459,0.5962,317,2.2298,30.97
legacy,500.0,0.1913,0.1555,0.2332,0.8087,392,2.3982,35.48
legacy,550.0,0.0700,0.0497,0.0976,0.9233,443,2.6257,40.32
legacy,600.0,0.0104,0.0044,0.0241,0.9834,481,2.8524,43.25
legacy,650.0,0.0000,0.0000,0.0076,1.0000,504,3.0390,45.18
legacy,700.0,0.0000,0.0000,0.0075,1.0000,511,3.2187,47.00
